"If enabled, image url like http://domain.zone/pub/media/wysiwyg/home/home-main.jpg will be replaced by http://domain.zone/media/wysiwyg/home/home-main.jpg.","If enabled, image url like http://domain.zone/pub/media/wysiwyg/home/home-main.jpg will be replaced by http://domain.zone/media/wysiwyg/home/home-main.jpg."
Testing,Testing
"Enable Safe Mode","Enable Safe Mode"
"If enabled, emails will be sent only to the test email (not to customers).","If enabled, emails will be sent only to the test email (not to customers)."
"Test Email","Test Email"
Import,Import
"Debug (for Developers Only)","Debug (for Developers Only)"
"Enable Debug Mode","Enable Debug Mode"
"If enabled, emails will only be sent to the authorized email domains.","If enabled, emails will only be sent to the authorized email domains."
"Authorized Email Domains","Authorized Email Domains"
"List of email domain names separated by commas ("",""). Don't use ""@"".","List of email domain names separated by commas ("",""). Don't use ""@""."
"Cronjob Information","Cronjob Information"
Back,Back
Save,Save
"Save and Continue Edit","Save and Continue Edit"
Email,Email
"Add Email","Add Email"
"Delete items","Delete items"
"Delete selected items?","Delete selected items?"
ID,ID
Edit,Edit
Campaign,Campaign
"First Name","First Name"
"Last Name","Last Name"
"Product Details","Product Details"
Status,Status
Scheduled,Scheduled
"Product Name","Product Name"
SKU,SKU
Quantity,Quantity
Opened,Opened
Subject,Subject
"Cancel items","Cancel items"
"Cancel selected items?","Cancel selected items?"
Cancel,Cancel
Rule,Rule
Name,Name
Priority,Priority
"Note! Additional to the listed actions Order Placed action will always cancel the abandoned cart email","Note! Additional to the listed actions Order Placed action will always cancel the abandoned cart email"
"Stores & Customer Groups","Stores & Customer Groups"
Stores,Stores
"Leave empty or select all to apply the campaign to any store","Leave empty or select all to apply the campaign to any store"
"Customer Groups","Customer Groups"
"Leave empty or select all to apply the campaign to any group","Leave empty or select all to apply the campaign to any group"
"Google Analytics","Google Analytics"
"Campaign Source","Campaign Source"
"<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> utm_source=google","<b>Required.</b> Use <b>utm_source</b> to identify a search engine, newsletter name, or other source.<br/><i>Example:</i> utm_source=google"
"Campaign Medium","Campaign Medium"
"<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> utm_medium=cpc","<b>Required.</b> Use <b>utm_medium</b> to identify a medium such as email or cost-per- click<br/><i>Example:</i> utm_medium=cpc"
"Campaign Name","Campaign Name"
"<b>Required.</b> Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> utm_campaign=spring_sale","<b>Required.</b> Used for keyword analysis. Use <b>utm_campaign</b> to identify a specific product promotion or strategic campaign.<br/><i>Example:</i> utm_campaign=spring_sale"
"Campaign Term","Campaign Term"
"Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> utm_term=running+shoes","Used for paid search. Use <b>utm_term</b> to note the keywords for this ad.<br/><i>Example:</i> utm_term=running+shoes"
"Campaign Content","Campaign Content"
"Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> utm_content=logolink <i>or</i> utm_content=textlink","Used for A/B testing and content-targeted ads. Use <b>utm_content</b> to differentiate ads or links that point to the same URL.<br/><i>Example:</i> utm_content=logolink <i>or</i> utm_content=textlink"
Test,Test
"Create New Campaign","Create New Campaign"
"Delete rules","Delete rules"
Products,Products
"Applied Coupon","Applied Coupon"
Created,Created
Updated,Updated
"IP Address","IP Address"
